agency,agencyAbbrev,subagency,subagencyAbbrev,NameCombo,url,type,datasets
Department of Veterans Affairs,VA,,,Department of Veterans Affairs (VA),http://catalog.data.gov/dataset?q=organization:va-gov,Federal,27
Department of Veterans Affairs,VA,Veterans Benefits Administration,VBA,Department of Veterans Affairs (VA) - Veterans Benefits Administration (VBA),http://catalog.data.gov/dataset?q=organization:vba-va-gov,Federal,70
Department of Veterans Affairs,VA,Veterans Health Administration,VHA,Department of Veterans Affairs (VA) - Veterans Health Administration (VHA),http://catalog.data.gov/dataset?q=organization:vha-va-gov,Federal,18
Department of Veterans Affairs,VA,Environmental Protection Agency,EPA,Department of Veterans Affairs (VA) - Environmental Protection Agency (EPA),http://catalog.data.gov/dataset?q=organization:((epa-gov)),Federal,1
District of Columbia,DC,,,District of Columbia (DC),http://data.dc.gov/,State,
Election Assistance Commission,EAC,,,Election Assistance Commission (EAC),http://catalog.data.gov/organization/eac-gov,Federal,6
Environmental Protection Agency,EPA,,,U.S. Environmental Protection Agency (EPA),http://catalog.data.gov/organization/epa-gov,Federal,1812
Executive Office of the President,EOP,Networking and Information Technology Research and Development,NITRD,Executive Office of the President (EOP) - Networking and Information Technology Research and Development (NITRD),http://catalog.data.gov/organization/nitrd-gov,Federal,1
Executive Office of the President,EOP,Council on Environmental Quality,CEQ,Executive Office of the President (EOP) - Council on Environmental Quality (CEQ),http://catalog.data.gov/organization/ceq-eop-gov,Federal,101
Executive Office of the President,EOP,Office of Management and Budget,OMB,Executive Office of the President (EOP) - Office of Management and Budget (OMB),http://catalog.data.gov/organization/omb-eop-gov,Federal,21
Executive Office of the President,EOP,Office of National Drug Control Policy,ONDCP,Executive Office of the President (EOP) - Office of National Drug Control Policy (ONDCP),http://catalog.data.gov/organization/ondcp-eop-gov,Federal,1
Executive Office of the President,EOP,Office of Science and Technology Policy,OSTP,Executive Office of the President (EOP) - Office of Science and Technology Policy (OSTP),http://catalog.data.gov/organization/ostp-eop-gov,Federal,6
Executive Office of the President,EOP,,,Executive Office of the President (EOP),http://catalog.data.gov/dataset?q=organization:((wh-eop-gov)+OR+(ceq-eop-gov)+OR+(omb-eop-gov)+OR+(ondcp-eop-gov)+OR+(ostp-eop-gov)+OR+(ustr-eop-gov)),Federal,151
Executive Office of the President,EOP,US Trade Representative,USTR,Executive Office of the President (EOP) - US Trade Representative (USTR),http://catalog.data.gov/dataset?q=organization:ustr-eop-gov,Federal,17
Executive Office of the President,EOP,White House,WH,Executive Office of the President (EOP) - White House (WH),http://catalog.data.gov/dataset?q=organization:wh-eop-gov,Federal,5
Export-Import Bank of the US,EX-IM,,,Export-Import Bank of the US (EX-IM),http://catalog.data.gov/organization/exim-gov,Federal,18
Federal Communications Commission,FCC,,,Federal Communications Commission (FCC),http://catalog.data.gov/organization/fcc-gov,Federal,12
